search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/fanesca,https://cdn.tasteatlas.com//Images/Dishes/cde5b1086d6643a7a8fecfe56a62eb4a.jpg?mw=660,Vegetable Soup,Fanesca,Ecuador
https://www.tasteatlas.com/fritada,https://cdn.tasteatlas.com//Images/Dishes/7ccaaf5f2969491fa81df1c1646a3820.jpg?mw=660,Pork Dish,Fritada,Ecuador
https://www.tasteatlas.com/encebollado,https://cdn.tasteatlas.com//Images/Dishes/50b18b3aebec4530af0eecbddf63e463.jpg?mw=660,Fish Soup,Encebollado,Ecuador
https://www.tasteatlas.com/salsa-de-mani,https://cdn.tasteatlas.com//images/dishes/de5c87951e644f9eb9edbadcb2adee62.jpg?mw=660,Sauce,Salsa de manÃ­,Ecuador
https://www.tasteatlas.com/tigrillo,https://cdn.tasteatlas.com//images/dishes/8ed3db79ba8049508f27a6ed2144cf49.jpg?mw=660,Breakfast,Tigrillo,Ecuador
https://www.tasteatlas.com/librillo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Offal Dish,Librillo,Ecuador
https://www.tasteatlas.com/locro-de-papa,https://cdn.tasteatlas.com//images/dishes/a8309f21f52f4852a758c928cb9f93cb.jpg?mw=660,Soup,Locro de papa,Ecuador
https://www.tasteatlas.com/llapingacho,https://cdn.tasteatlas.com//images/dishes/bbff4cee51d442e88942ed797a4d635d.jpg?mw=660,Side Dish,Llapingacho,Ecuador
https://www.tasteatlas.com/guatitas,https://cdn.tasteatlas.com//images/dishes/b3d512f923d3466ca40c9c4c7a44c71a.jpg?mw=660,Stew,Guatita,Ecuador
https://www.tasteatlas.com/hornado-pastuso,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Pork Dish,Hornado pastuso,Ecuador
https://www.tasteatlas.com/espumilla,https://cdn.tasteatlas.com//images/dishes/f534d78e870747c1a5748f21cc9fa571.jpg?mw=660,Dessert,Espumilla,Ecuador
https://www.tasteatlas.com/chugchucaras,https://cdn.tasteatlas.com//images/dishes/eb4f2cf4b6204decb5c0390398227d03.jpg?mw=660,Pork Dish,Chugchucaras,Ecuador
https://www.tasteatlas.com/caldo-de-bolas,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Soup,Caldo de bolas,Ecuador
https://www.tasteatlas.com/seco-de-chivo,https://cdn.tasteatlas.com//Images/Dishes/7631e65b08ae45f182de66a84ad3aeb2.jpg?mw=660,Stew,Seco de chivo,Ecuador
https://www.tasteatlas.com/maito-de-pescado,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Freshwater Fish Dish,Maito de pescado,Ecuador
https://www.tasteatlas.com/repe-lojano,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Soup,Repe lojano,Ecuador
https://www.tasteatlas.com/repe,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Soup,Repe,Ecuador
https://www.tasteatlas.com/helado-de-paila,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Ice Cream,Helado de paila,Ecuador
https://www.tasteatlas.com/fritada-imbaburena,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Pork Dish,Fritada imbabureÃ±a,Ecuador
https://www.tasteatlas.com/miel-con-quesillo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Cheese Dessert,Miel con quesillo,Ecuador
